Data Table for Weekly Deaths - The United States,,,
Date generated: Tue Jul 18 2023 15:19:22 GMT-0400 (Eastern Daylight Time),,,
Geography,Date,Weekly Deaths,Death Data As Of
United States,Jun 24 2023,468,Jul 12 2023
United States,Jun 17 2023,550,Jul 12 2023
United States,Jun 10 2023,576,Jul 12 2023
United States,Jun  3 2023,657,Jul 12 2023
United States,May 27 2023,719,Jul 12 2023
United States,May 20 2023,736,Jul 12 2023
United States,May 13 2023,819,Jul 12 2023
United States,May  6 2023,915,Jul 12 2023
United States,Apr 29 2023,1012,Jul 12 2023
United States,Apr 22 2023,1173,Jul 12 2023
United States,Apr 15 2023,1200,Jul 12 2023
United States,Apr  8 2023,1350,Jul 12 2023
United States,Apr  1 2023,1429,Jul 12 2023
United States,Mar 25 2023,1639,Jul 12 2023
United States,Mar 18 2023,1749,Jul 12 2023
United States,Mar 11 2023,1834,Jul 12 2023
United States,Mar  4 2023,1980,Jul 12 2023
United States,Feb 25 2023,2143,Jul 12 2023
United States,Feb 18 2023,2088,Jul 12 2023
United States,Feb 11 2023,2333,Jul 12 2023
United States,Feb  4 2023,2621,Jul 12 2023
United States,Jan 28 2023,2893,Jul 12 2023
United States,Jan 21 2023,3231,Jul 12 2023
United States,Jan 14 2023,3671,Jul 12 2023
United States,Jan  7 2023,3851,Jul 12 2023
United States,Dec 31 2022,3653,Jul 12 2023
United States,Dec 24 2022,3313,Jul 12 2023
United States,Dec 17 2022,3179,Jul 12 2023
United States,Dec 10 2022,3031,Jul 12 2023
United States,Dec  3 2022,2586,Jul 12 2023
United States,Nov 26 2022,2492,Jul 12 2023
United States,Nov 19 2022,2254,Jul 12 2023
United States,Nov 12 2022,2198,Jul 12 2023
United States,Nov  5 2022,2246,Jul 12 2023
United States,Oct 29 2022,2242,Jul 12 2023
United States,Oct 22 2022,2191,Jul 12 2023
United States,Oct 15 2022,2144,Jul 12 2023
United States,Oct  8 2022,2194,Jul 12 2023
United States,Oct  1 2022,2374,Jul 12 2023
United States,Sep 24 2022,2543,Jul 12 2023
United States,Sep 17 2022,2508,Jul 12 2023
United States,Sep 10 2022,2802,Jul 12 2023
United States,Sep  3 2022,2926,Jul 12 2023
United States,Aug 27 2022,3047,Jul 12 2023
United States,Aug 20 2022,3164,Jul 12 2023
United States,Aug 13 2022,3283,Jul 12 2023
United States,Aug  6 2022,3370,Jul 12 2023
United States,Jul 30 2022,3400,Jul 12 2023
United States,Jul 23 2022,3223,Jul 12 2023
United States,Jul 16 2022,2928,Jul 12 2023
United States,Jul  9 2022,2588,Jul 12 2023
United States,Jul  2 2022,2420,Jul 12 2023
United States,Jun 25 2022,2326,Jul 12 2023
United States,Jun 18 2022,2193,Jul 12 2023
United States,Jun 11 2022,2137,Jul 12 2023
